date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2/21/2021,2857.2 µmole,13.5 µmole,67.9 µmole,75.1 µmole,57.7 µmole,451.9 µmole,499.5 µmole,21.8 µmole
2/21/2021,2456.7 µmole,7.8 µmole,54.2 µmole,135.9 µmole,64.9 µmole,436.5 µmole,476.0 µmole,19.5 µmole
2/21/2021,1228.3 µmole,2.2 µmole,20.9 µmole,200.3 µmole,42.9 µmole,273.7 µmole,292.7 µmole,9.9 µmole
2/21/2021,1028.1 µmole,1.5 µmole,15.3 µmole,206.0 µmole,34.8 µmole,237.4 µmole,253.6 µmole,9.4 µmole
2/21/2021,974.7 µmole,1.4 µmole,14.7 µmole,200.3 µmole,33.4 µmole,222.8 µmole,238.6 µmole,9.9 µmole
2/21/2021,1121.5 µmole,2.0 µmole,23.7 µmole,180.2 µmole,40.5 µmole,230.7 µmole,248.9 µmole,12.5 µmole
2/21/2021,1375.2 µmole,2.4 µmole,38.7 µmole,148.8 µmole,49.1 µmole,247.0 µmole,268.8 µmole,16.0 µmole
2/21/2021,1575.5 µmole,1.3 µmole,54.2 µmole,113.0 µmole,52.0 µmole,248.6 µmole,273.3 µmole,18.2 µmole
2/21/2021,2029.4 µmole,0.1 µmole,76.1 µmole,65.8 µmole,53.9 µmole,264.6 µmole,297.6 µmole,23.8 µmole
2/21/2021,2616.9 µmole,0.1 µmole,89.1 µmole,29.0 µmole,53.4 µmole,297.3 µmole,344.1 µmole,31.2 µmole
2/21/2021,2830.5 µmole,0.4 µmole,84.3 µmole,16.8 µmole,49.1 µmole,321.4 µmole,376.1 µmole,34.0 µmole
2/21/2021,3044.1 µmole,2.0 µmole,80.9 µmole,8.4 µmole,45.3 µmole,347.2 µmole,408.4 µmole,32.2 µmole
2/21/2021,3391.3 µmole,8.9 µmole,77.5 µmole,1.1 µmole,42.9 µmole,377.0 µmole,446.0 µmole,27.6 µmole
2/21/2021,3284.5 µmole,14.8 µmole,69.9 µmole,0.2 µmole,35.3 µmole,373.9 µmole,442.1 µmole,18.5 µmole
2/21/2021,2910.6 µmole,18.1 µmole,59.0 µmole,0.1 µmole,26.7 µmole,350.8 µmole,411.6 µmole,10.9 µmole
2/21/2021,2964.0 µmole,27.3 µmole,48.7 µmole,0.0 µmole,28.9 µmole,359.6 µmole,422.9 µmole,10.6 µmole
2/21/2021,3097.5 µmole,34.9 µmole,40.1 µmole,0.0 µmole,31.5 µmole,377.9 µmole,445.7 µmole,11.5 µmole
2/21/2021,3177.6 µmole,41.6 µmole,32.2 µmole,0.0 µmole,33.9 µmole,392.3 µmole,463.1 µmole,12.4 µmole
